xml filename,htm filename,Sanskrit Filename,Tibetan Filename,d_ref,CBETA number,Remarks Chinese translation,Full title of the text,Additional information,Author,author_id,GRETIL/DSBC Link,Reconstructed,Edition on Archive,DSBC
sa_bower-manuscript.xml,bowermsu.htm,XXbowermsu,,,,,Bower Manuscript,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/bowermsu.htm,,https://archive.org/search.php?query=Bower%20Manuscript,
sa_vidyAkarazAnti-tarkasopAna.xml,vtrksopu.htm,T17vtrksopu,,,,Not found.,Tarkasopāna,,Vidyākaraśānti,P0ER0012,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/vtrksopu.htm,,,
sa_sabhikasaugatazAsanapravrajyAvratacaraNaparivarta.xml,sabhivpu.htm,T17sabhivpu,,,,Not found.,Sabhikasaugataśāsanapravrajyāvratacaraṇaparivarta,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/sabhivpu.htm,,,
sa_mAtRceTa-zatapaJcAzatka.xml,matpra_u.htm,T17matpra_u,D1147,D1147,T32n1680,Very free translation (義淨).,Prasādapratibhodhava [Śatapañcāśatka],,Mātṛceta,P4CZ10509,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/matpra_u.htm,,,
sa_kumAralAta-kalpanAmaNDitikA.xml,kukalpmu.htm,T17kukalpmu,,,T04n0201,,Kalpanāmaṇḍitikā,,Kumāralāta,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/kukalpmu.htm,,,
sa_buddhist-yoga-manual.xml,byogalbu.htm,T17byogalbu,,,,Not found.,Buddhist Yoga Manual,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/byogalbu.htm,,,
sa_dignAga-yogAvatAra.xml,bsa046_u.htm,T17bsa046_u,"D4539, D4074","D4539, D4074",,Not extant according to Charles Muller/Dan Lusthaus.,Yogāvatāra,,Dignāga,P6126,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa046_u.htm,,,y
sa_nAgArjuna-dharmasaMgraha.xml,bsa007_u.htm,T17bsa007_u,,,T17n0764,Doubtful whether this is the correct text.,Dharmasaṃgraha,,Nāgārjuna,P4954,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa007_u.htm,,https://archive.org/search.php?query=Dharmasa%E1%B9%85graha,y
sa_tarkarahasya.xml,tarkrsau.htm,T16tarkrsau,,,,Not found.,Tarkarahasya,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/tarkrsau.htm,,,
sa_vararuci-zatagAthA.xml,bsa060_u.htm,T15bsa060_u,D4332,D4332,,Not found.,Śatagāthā,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa060_u.htm,,,y
sa_pratyakSalakSaNa-of-the-tarkarahasya.xml,tarkrplu.htm,T14tarkrplu,,,,Not found.,Pratyakṣalakṣaṇa,Of Tarkarahasya,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/tarkrplu.htm,,,
sa_stUpalakSaNakArikAvivecana.xml,stuplaku.htm,T14stuplaku,,,,Not found.,Stūpalakṣaṇakārikāvivecana,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/stuplaku.htm,,,
,nagcitpu.htm,T14nagcitpu,,,,Not found.,Citralakṣaṇa,,Nagnajit,P0ER0031,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/nagcitpu.htm,,,
sa_samyaksaMbuddhabhASitaM-pratimAlakSaNam.xml,bsu059_u.htm,T14bsu059_u,,,,Not found.,Samyaksambuddhabhāṣita pratimālakṣaṇa,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu059_u.htm,,,y
sa_nAgArjuna-kriyAsaMgrahakArikA.xml,bsa044_u.htm,T14bsa044_u,,,,Not found.,Kriyāsaṃgrahakārikā,,Nāgārjuna,P4954,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa044_u.htm,,,y
sa_davuldeNa-jJAnezvara-mahAsthavira-yazodharAcarita.xml,davyasou.htm,T13davyasou,,,,Not found.,Yaśodharācarita,,Davuldeṇa Jñāneśvara Mahāsthavira,P0ER0004,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/davyasou.htm,,https://archive.org/search.php?query=Ya%C5%9Bodhar%C4%81carita,y
sa_buddhaghoSa-siddhArthacaritrakAvya.xml,bghsic_u.htm,T13bghsic_u,,,,Not found.,Siddhārthacaritrakāvya,,Buddhaghoṣa,P0ER0002,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bghsic_u.htm,,,y
sa_zAkyabuddhi-pramANavArttikaTIkA.xml,sbpramvu.htm,T11sbpramvu,T11D4220-1,D4220,,Not found.,Pramāṇavārttikaṭīkā,,Śākyabuddhi,P0AT0114,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/sbpramvu.htm,,,
sa_ratnakIrti-vAdarahasya.xml,rvadrahu.htm,T11rvadrahu,,,,Not found.,Vādarahasya [Udayananirākaraṇa],,Ratnakīrti (?),P8181,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/rvadrahu.htm,,,y
