Sanskrit Filename,Tibetan Filename,d_ref,CBETA number,Remarks Chinese translation,Full title of the text,Additional information,Author,author_id,GRETIL/DSBC Link,Reconstructed,Edition on Archive
XXn740u,,,,,Advayasiddhi,,,,http://www.dsbcproject.org/canon-text/book/85,,
XXn693u,,,,,Advayavajrasaṃgraha [Advayavajrasaṅgraha],,,,http://www.dsbcproject.org/canon-text/book/82,,
XXn690u,,,,,Nānāsiddhopadeśa,,,,http://www.dsbcproject.org/canon-text/book/79,,
XXn2938u,,,,,Ḍākārṇava,,,,http://www.dsbcproject.org/canon-text/book/809,,https://archive.org/search.php?query=%E1%B8%8C%C4%81k%C4%81r%E1%B9%87ava
XXn2927u,,,,,Buddhakapālatantra,,,,http://www.dsbcproject.org/canon-text/book/797,,
XXn2898u,,,,,Svapnādhyāya,,,,http://www.dsbcproject.org/canon-text/book/770,,
XXn2890u,,,,,Caṇḍamahāroṣaṇatantra,,,,http://www.dsbcproject.org/canon-text/book/762,,
XXn2856u,,,,,Kalpoktamārīcīsādhana,,,,http://www.dsbcproject.org/canon-text/book/728,,
XXn1143u,,,,,Nṛtyaprasūti,,,,http://www.dsbcproject.org/canon-text/book/273,,
XXn1142u,,,,,Nālandādahana,,,,http://www.dsbcproject.org/canon-text/book/272,,
XXn1137u,,,,,Nāgānanda Nāṭaka,,Harṣadeva,P7374,http://www.dsbcproject.org/canon-text/book/271,,https://archive.org/details/NaganandaHarshaDevaJivanandVidyasagar/mode/2up
XXn1136u,,,,,Buddhamata,,,,http://www.dsbcproject.org/canon-text/book/270,,
XXbowermsu,,,,,Bower Manuscript,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/bowermsu.htm,,https://archive.org/search.php?query=Bower%20Manuscript
T17vtrksopu,,,,Not found.,Tarkasopāna,,Vidyākaraśānti,P0ER0012,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/vtrksopu.htm,,
T17sabhivpu,,,,Not found.,Sabhikasaugataśāsanapravrajyāvratacaraṇaparivarta,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/sabhivpu.htm,,
