file,title,title_buddhanexus,title_notes,author,author_buddhanexus,author_pid,tōh,cbeta,Remarks Chinese translation,reconstructed (y/n),url,legacy_url,url_buddhanexus,archive.org,dsbc (yn),category,best_text,duplicate_of_standard
sa_bower-manuscript.xml,Bower Manuscript,Bower Manuscript,,,,,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_bower-manuscript.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/bowermsu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/bowermsu.htm,https://archive.org/search.php?query=Bower%20Manuscript,,6_sastra/7_ayur,,
sa_vidyAkarazAnti-tarkasopAna.xml,Tarkasopāna,Tarkasopāna,,Vidyākaraśānti,Vidyākaraśānti,P0ER0012,,,Not found.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_vidyAkarazAnti-tarkasopAna.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/vtrksopu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/vtrksopu.htm,,,6_sastra/3_phil/buddh,,
sa_sabhikasaugatazAsanapravrajyAvratacaraNaparivarta.xml,Sabhikasaugataśāsanapravrajyāvratacaraṇaparivarta,Sabhikasaugataśāsanapravrajyāvratacaraṇaparivarta,,,,,,,Not found.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_sabhikasaugatazAsanapravrajyAvratacaraNaparivarta.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/sabhivpu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/sabhivpu.htm,,,4_rellit/buddh,,
sa_mAtRceTa-zatapaJcAzatka.xml,Śatapañcāśatka,Prasādapratibhodhava [Śatapañcāśatka],,Mātṛceṭa,Mātṛceta,P4CZ10509,D1147,T32n1680,Very free translation (義淨).,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_mAtRceTa-zatapaJcAzatka.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/matpra_u.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/matpra_u.htm,,,4_rellit/buddh,,
sa_kumAralAta-kalpanAmaNDitikA.xml,Kalpanāmaṇḍitikā,Kalpanāmaṇḍitikā,,Kumāralāta,Kumāralāta,,,T04n0201,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_kumAralAta-kalpanAmaNDitikA.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/kukalpmu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/kukalpmu.htm,,,4_rellit/buddh,,
sa_buddhist-yoga-manual.xml,Buddhist yoga manual,Buddhist Yoga Manual,,,,,,,Not found.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_buddhist-yoga-manual.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/byogalbu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/byogalbu.htm,,,4_rellit/buddh,,
sa_dignAga-yogAvatAra.xml,Yogāvatāra,Yogāvatāra,,Dignāga,Dignāga,P6126,"D4539, D4074",,Not extant according to Charles Muller/Dan Lusthaus.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_dignAga-yogAvatAra.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa046_u.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa046_u.htm,,y,6_sastra/3_phil/buddh,,
sa_nAgArjuna-dharmasaMgraha.xml,Dharmasaṃgraha,Dharmasaṃgraha,,Nāgārjuna,Nāgārjuna,P4954,,T17n0764,Doubtful whether this is the correct text.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_nAgArjuna-dharmasaMgraha.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa007_u.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa007_u.htm,https://archive.org/search.php?query=Dharmasa%E1%B9%85graha,y,6_sastra/3_phil/buddh,y,
sa_tarkarahasya.xml,Tarkarahasya,Tarkarahasya,,,,,,,Not found.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_tarkarahasya.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/tarkrsau.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/tarkrsau.htm,,,6_sastra/3_phil/buddh,,
sa_vararuci-zatagAthA.xml,Śatagāthā,Śatagāthā,,Vararuci,,,D4332,,Not found.,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_vararuci-zatagAthA.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa060_u.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa060_u.htm,,y,6_sastra/3_phil/buddh,y,
