file,title,author,tōh,input_by,url,edition_bibliography
caṇḍamahāroṣaṇatantra.xml,Caṇḍamahāroṣaṇatantra,,,,https://84000.co/translation/toh431#UT22084-080-015-appendix,"Edition by Wiesiek Mical in: 84000: Translating the Words of the Buddha. “The Glorious Caṇḍa­mahā­roṣaṇa Tantra ‘The Sole Hero’ (Ekalla­vīrākhya­śrī­caṇḍa­mahā­roṣaṇa­tantram, dpal gtum po khro bo chen po’i rgyud kyi rgyal po dpa’ bo gcig pa zhes bya ba).” Translated by Dharmachakra Translation Committee. https://84000.co/translation/toh431, 2016."
sūktimuktāvalī.xml,Sūktimuktāvalī,,,HarunagaIsaacson,,
sūktiratnakośa.xml,Sūktiratnakośa,,,Harunaga Isaacson,,
vāmanā_jayāditya_kāśikāvṛtti.xml,"Kāśikāvṛtti (1.1.1–1.3.93, book 2 and book 3)",Jayāditya & Vāmana,,Adam Catt,https://kyoto-u.academia.edu/AdamCatt,
vyaktabhāvānugatattvasiddhi.xml,Vyaktabhāvānugatatattvasiddhi,*Yoginī Cintā,D2222,,,Rinpoche and Dwivedi 1987
padmavajra_guhyasiddhi.xml,Guhyasiddhi,Padmavajra,D2217,Ryugen Tanemura,,Rinpoche and Dwivedi 1987
padmavajra_advayavivaraṇaprajñopāyaviniścayasiddhi.xml,Advayavivaraṇaprajñopāyaviniścayasiddhi,Padmavajra,,,,
anaṅgavajra_prajñopāyaviniścaya.xml,Prajñopāyaviniścaya,Anaṅgavajra,D2218,Ryugen Tanemura,,Rinpoche and Dwivedi 1987
kuddālapada_acintyādvayakramopadeśa.xml,Acintyādvayakramopadeśa,Kuddālapāda,D2228,,,Rinpoche and Dwivedi 1987
haribhadra_ratnaguṇasañcayagāthāvyākhyā.xml,Ratnaguṇasaṃcayagāthāvyākhyā,Haribhadra,D3792,Harunaga Isaacson,,Dhīḥ 2009 and onwards
vallabhadeva_kumārasambhavalaghuṭīkā.xml,Kumārasambhava (w/ Laghuṭīkā),Kālidāsa and Vallabhadeva,,Harunaga Isaacson,,M.S. Narayana Murti 1980.
abhayākaragupta_vajrāvalī.xml,Vajrāvalī,Abhayākaragupta,D3140,,,Mori 2009
vallabhadeva_subhāṣitāvalī.xml,Subhāṣitāvalī,Vallabhadeva,,Anon. & Harunaga Isaacson,,
jvālāmālinīkalpa.xml,Jvālāmālinīkalpa,,,A. Michael Ullrey,https://www.garudam.info/JvalMalKal.txt,"Indranandi, and Chandra Shekhar Shastri. Srijvalamalini kalpa : bhasha tika aura mantra, tantra, yantra sahita. Surata: Digambara Jaina Pustakalaya, 1964. Print."
bhaṭṭojidīkṣita_siddhāntakaumudī.xml,Siddhāntakaumudī,Bhaṭṭoji Dīkṣita,,Dhaval Patel etc.,,unclear (see Github)
malliṣeṇasūri_bhairavapadmāvatīkalpa.xml,Bhairavapadmāvatīkalpa (w/ commentary),Malliṣeṇasūri and Bandhuṣeṇa,,M. Slouber,,M.B. Jhavery’s: Comparative and Critical Study of Mantrasastra
bhelasaṃhitā.xml,Bhelasaṃhitā,,,,,"V.S.Venkatasubramania Sastri, C.Raja Rajeswara Sarma, New Delhi:Central Council for Research in Indian Medicine & Homoeopathy, 1977"
suśruta_suśrutasaṃhitā.xml,Suśrutasaṃhitā,,,,,"Vaidya Jādavji Trikamji ācāryā, revised second edition, Bombay: Pāndurang Jāṃajī, 1931."
śarvavarman_kātantra_w_commentary.xml,Kātantra (with the commentary of Durgasiṃha),Śarvavarman and Durgasiṃha,,Xueshan Zhang,https://www.academia.edu/44770402/K%C4%81tantra_skt,"Śarvavarman: The Kātantra. With the commentary of Durgasiṃha. Ed., with notes and indexes by Julius Eggeling. Reprint of the ed. Calcutta, Austin, 1874-1878. - Osnabrück: Biblio- Verl., 1991. [Bibliotheca Indica; Vol. 81]"
candragomin_candravṛtti.xml,Candra-vṛtti,Candragomin,,Xueshan Zhang,https://www.academia.edu/44770469/Candrav%E1%B9%9Btti_skt,"Candragomin: Candra-vṛtti: Der Originalkommentar Candragomin's zu seinem grammatischen Sūtra, hrsg. von Bruno Liebich. Leipzig : Brockhaus 1918. [Abhandlungen für die Kunde des Morgenlandes, 14]"
anubhūtisvarūpācārya_sārasvatavyākaraṇa.xml,Sārasvatavyākaraṇam (incomplete: pdf 2.73),Anubhūtisvarūpācārya,,Xueshan Zhang,https://www.academia.edu/44770550/Sarasvatavyakarana,Sārasvata Vyākaraṇam of Anubhūti Svarūpāchārya Benares. 1935
vedāntadeśika_yādavābhyudaya_w_commentary_sarga_1.xml,Yādavābhyudaya (sarga 1 with commentary),Vedāntadeśika and Appaya Dīkṣita,,Jonathan Duquette and Harunaga Isaacson,,
jinendrabuddhi_kāśikāvivaraṇapañjikā_aka_nyāsa.xml,Nyāsa,Jinendrabuddhi,,https://ashtadhyayi.com/ with revisions by Shanshan Jia,,
darpaṇācārya_ācāryakriyāsamuccaya.xml,Ācāryakriyāsamuccaya (Abhiṣeka section),Darpaṇācārya,D3305,,,"Editions by Moriguchi 1990, 1991, 1992"
bhavabhūti_mālatīmādhava_w_rasamañjarī.xml,Mālatīmādhava Rasamañjaryākhyavyākhyopeta,Bhavabhūti and Pūrṇasarasvatī,,Vi. Śāradā,,
kṣitigarbha_daśatattvasaṃgraha.xml,Daśatattvasaṃgraha,Kṣitigarbha,,,,"Klein-Schwind, Sabine Gudrun (Oktober 2012). The Compendium of the Ten Fundamentals: Daśatattvasaṃgraha of paṇḍita Kṣitigarbha. Critical Edition of the Sanskrit Text with Introduction and Annotated English Translation. Dissertation zur Erlangung der Würde eines Doktors der Philosophie der Universität Hamburg, Fakultät für Geisteswissenschaften."
aparokṣānubhūti.xml,Aparokṣānubhūti,,,,,
kurukullākalpa.xml,Kurukullākalpa,,D437,,https://84000.co/translation/toh437#UT22084-081-006-appendix,"Edition by Wiesiek Mical in: 84000: Translating the Words of the Buddha. “The Practice Manual of Noble Tārā Kurukullā (Āryatārākurukullākalpa, ’Phags Ma Sgrol Ma Ku Ru Kulle’i Rtog Pa, Tōh. 437).” Translated by Dharmachakra Translation Committee. https://84000.co/translation/toh437, 2024."
ratnākaraśānti_khasamaṭīkā.xml,Khasamaṭīkā,Ratnākaraśānti,D1424,Hejung,,Upādhyāya 1983
kṛṣṇayamāritantra.xml,Kṛṣṇayamāritantra,,,,,"S. Rinpoche and V. Dwivedi, Rare Buddhist Text Srieis 9, Central Institute of Higher Tibetan Studies, Sarnath, Varanasi, 1992."
kālidāsa_meghadūta_w_four_commentaries.xml,"Meghadūta (with four commentaries, the fourth incomplete)","Kālidāsa, Vallabhadeva, Dakṣiṇāvartanātha, Mallinātha, and Sumativijaya",,Roger Vogt,,
laghusaṃvaratantra.xml,Laghusaṃvaratantra (Herukābhidhāna),,,,,"Janardan Shastri Pandey (ed.) Śrīherukābhidhānam Cakrasaṃvaratantram with the commentary of Bhavabhaṭṭa, Sarnath: CIHTS, 2002 (Rare Buddhist Texts Series 26). (Henceforth Sarnath edition); and edition of Alexis Sanderson in The Śaiva sources of the Buddhist Tantras of Śaṃvara, Handout 2 and 3, Trinity Term, 1998."
pādmasaṃhitā.xml,Pādmasaṃhitā (a Pāñcarātra Āgama),,,,,
paramasaṃhitā.xml,Paramasaṃhitā (a Pāñcarātra Āgama),,,,,
īśvarasaṃhitā.xml,Īśvarasaṃhitā (a Pāñcarātra Āgama),,,,,
śrīpraśnasaṃhitā.xml,Śrīpraśnasaṃhitā (a Pāñcarātra Āgama),,,,,
vāgīśvarakīrti_tattvaratnāvaloka.xml,Tattvaratnāvaloka (with Vivaraṇa),Vāgīśvarakīrti,"D1889, D1890",Ryan Conlon,,Draft edition by Conlon
vilāsavajra_nāmamantrārthāvalokinī_ch_1-5.xml,Nāmamantrārthāvalokinī (ch. 1-5),Vilāsavajra,D2533 partial,Ryan Conlon,,"Tribe, A. 2016. Tantric Buddhist Practice in India: Vilāsavajra’s commentary on the Mañjuśrīnāmasaṃgīti. Routledge Studies in Tantric Traditions. Taylor & Francis."
advayavajra_nairātmyāprakāśa.xml,Nairātmyāprakāśa,Advayavajra,D1308,Ryan Conlon,,"Conlon, R. Advayavajra’s Nairātmyāprakāśa: A Critical Edition. J Indian Philos 53, 433–469 (2025). https://doi.org/10.1007/s10781-025-09611-0"
someśvaradeva_surathotsava.xml,Surathotsava,Someśvaradeva,,Harunaga Isaacson,,
samantabhadra_sāramañjarī_excerpts.xml,Sāramañjarī (ad Samantabhadrasādhana 109–120),Samantabhadra,D1869 partial,Ryan Conlon,,"Saccone, Margherita Serena, and Péter-Dániel Szántó. 2023. Tantra and Pramāṇa: A Study of the Sāramañjarī. Series Minor XCVIII. Napels: UniorPress."
kalhaṇa_rājataraṅgiṇī.xml,Rājataraṅgiṇī,Kalhaṇa,,Jun Takashima,,"Stein, M. A. 1960 (reprint). Kalhaṇa's Rājataraṅgiṇī or Chronicles of the Kings of Kashmir. Delhi: Munshi Ram and Manohar Lal."
prakāśātmayati_śābdanirṇaya.xml,Śābdanirṇaya,Prakāśātmayati/Prakāśātma,,Harunaga Isaacson,,
candrakīrti_madhyamakāvatārabhāṣya_ch1–5.xml,Madhyamakāvatārabhāṣya (ch. 1-5),Candrakīrti,D3862,Ryan Conlon,,"Lasic, Horst, Xuezhu Li, and Anne MacDonald, eds. Candrakīrti's Madhyamakāvatārabhāṣya Chapters 1 to 5. Beijing and Vienna: China Tibetology Publishing House and Austrian Academy of Sciences Press, 2022."
sampuṭatantra.xml,Sampuṭatantra,,D381,,https://84000.co/translation/toh381/UT22084-079-008-chapter-1,"Edition by Wiesiek Mical in: 84000: Translating the Words of the Buddha. “Emergence from Sampuṭa (Saṃpuṭodbhava­sarva­tantra­nidāna­mahā­kalpa­rājaḥ, yang dag par sbyor ba zhes bya ba’i rgyud chen po).” Translated by Dharmachakra Translation Committee. https://84000.co/translation/toh381, 2020."
k_528_east_mebon.xml,K 528: East Mebon inscription of Cambodia,,,Harunaga Isācson,,"Goodall, Dominic. 2022. The East Mebon Stele Inscription from Angkor (K. 528): A Sanskrit Eulogy of the Tenth-Century Khmer Sovereign Rājendravarman. Vol. 154. Collection Indologie. Pondicherry: Institut Français de Pondichéry / École française d’Extrême-Orient."
ratnākaraśānti_ascribed_gaṇacakravidhi.xml,Gaṇacakravidhi,Ratnākaraśānti (attributed),D1995,Ryan Conlon,,"Péter-Dániel Szántó, 2019, 'Minor Vajrayāna texts V: The Gaṇacakravidhi attributed to Ratnākaraśānti'. In: Nina Mirnig, Marion Rastelli, Vincent Eltschinger (eds.), Tantric Communities in Context, Vienna: Austrian Academy of Sciences, pp. 275-314."
ratnākaraśānti_muktāvalī.xml,Muktāvalī Hevajrapañjikā,Ratnākaraśānti,D1189,,,"Ram Shankar Tripathi and Thakur Sain Negi, eds. 2001. Hevajratantra with Muktāvalī Pañjikā of Mahāpaṇḍitācārya Ratnākaraśānti. Sarnath, Varanasi: Central Institute of Higher Tibetan Studies"
vajragarbha_piṇḍārthaṭīkā.xml,Ṣaṭsāhasrikā Hevajrapiṇḍārthaṭikā,Vajragarbha,D1180,,,"Shendge, Malati J. 2004. Ṣaṭsāhasrikā-Hevajra-Ṭikā. Delhi: Pratibha Prakashan."
śākyarakṣita_abhisamayamañjarī.xml,Abhisamayamañjarī,Śākyarakṣita,D1582,Ryan Conlon,,Dhīḥ vol. 12: 123–54
kṛṣṇa_yogaratnamālā.xml,Yogaratnamālā,Kṛṣṇa,D1183,,,"Snellgrove, D.L. 1959. The Hevajra Tantra: Śrīhevajradākinījālsaṃvara-mahātantrarājā [Sanskrit text, romanized] and the Tibetan translation [romanized]. Yogaratnamālā, a commentary on the Hevajra-tantra by Kāṇha. London oriental series. Oxford University Press."
sarvabuddhasamāyoga_ed_dhīḥ.xml,Sarvabuddhasamāyoga,,D366,Ryan Conlon,,Dhīḥ vol. 58: 140–201
rāmapāla_sekanirdeśapañjikā.xml,Sekanirdeśapañjikā,Rāmapāla,D2253,Ryan Conlon,,"Isaacson, Harunaga and Francesco Sferra. 2014. The Sekanirdeśa of Maitreyanātha (Advayavajra) with the Sekanirdeśapañjikā of Rāmapāla: Critical Edition of the Sanskrit and Tibetan Texts with English Translation and Reproductions of the MSS. Manuscripta Buddhica 2 = Serie Orientale Roma CVII. Napoli: Università degli Studi di Napoli “L’Orientale”/Asien-Afrika Institut, Universtität Hamburg."
k_806_pre_rup.xml,K 806: Pre Rub inscription of Cambodia,,,Harunaga Isaacson,,"Forthcoming, by Dominic Goodall, Harunaga Isaacson, and S.L.P. Anjaneya Sarma."
abhayākaragupta_abhayapaddhati.xml,Abhayapaddhati,Abhayākaragupta,D1654,Ryan Conlon,,"ed-m = Mei Yang. 2014. ""Abhayākaragupta's Abhayapaddhati on the Buddhakapālatantra: Chapters 1–5 Critically Edited with English Translation"". Dissertation: Georg-August-Universität Göttingen; ed-c = Chog Dorje. 2009. ""Abhayapaddhati of Abhayākaragupta: Commentary on the Buddhakapālamahātantra"". Central Institute of Higher Tibetan Studies: Saranath; ed-l = Luo Hong. 2010. ""Abhayākaragupta's Abhayapaddhati Chapters 9 to 13"". China Tibetology Publishing House/Centre for Tantric Studies: Beijing/Hamburg; ch. 7 based on a draft edition by Isaacson."
bhāgavata_10_rāsapañcādhyāyī_ten_commentaries.xml,Bhāgavatapurāṇa skanda 10 w/ commentaries,,,"Jagat, Durmada Das, and Rasavarshi Das",,
bhāgavata_07_four_commentaries.xml,Bhāgavatapurāṇa skanda 7 w/ commentaries,,,"Jagat, Durmada Das, and Rasavarshi Das",,
k_111_vat_sithor.xml,K 111: Vat Sithor inscription of Cambodia,,,Harunaga Isaacson,,"Cœdes IC VI p. 195ff and Phillip Scott Ellis Green, ""The Vat Sithor Inscription: Translation, Commentary, and Reflections on Buddhist Traditions in tenth-century Cambodia"" PhD Dissertation, University of Florida, 2014."
bhāgavata_03_four_commentaries.xml,Bhāgavatapurāṇa skanda 3 w/ commentaries,,,"Jagat, Durmada Das, and Rasavarshi Das",,
bhāgavata_06_four_commentaries.xml,Bhāgavatapurāṇa skanda 6 w/ commentaries,,,"Jagat, Durmada Das, and Rasavarshi Das",,
gaṇeśapurāṇa_1_upāsanākhaṇḍa.xml,Gaṇeśapurāṇa (first part),,,Manish Gavkar,https://sanskritdocuments.org/doc_purana/gaNeshapurANam1.html,
gaṇeśapurāṇa_2_krīḍākhaṇḍa.xml,Gaṇeśapurāṇa (second part),,,Manish Gavkar,https://sanskritdocuments.org/doc_purana/gaNeshapurANam2.html,
daṇḍin_avantisundarīkathā.xml,Avantisundarīkathā,Daṇḍin,,Yiming Shen and Harunaga Isaacson,,"Pillai, Trivandrum. 1954. Trivandrum Sanskrit Series 172."
