original_filename,file,catalogue_no,title,title_notes,author,author_pid,url,editor,best_text,duplicate_of_standard,,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available",Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other | Excerpts,Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
M00198 - aMzumatkAzyapAgama.htm,aMzumatkAzyapAgama_M00198.xml,M00198,Aṃśumatkāśyapāgama,,,,https://muktabodha-digital-library.org/texts/IAST/M00198,,,,,incomplete,lacking explicit+final colophon,,Aṃśumadāgama,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,ityaṃśumatkāśyape karṣaṇavidhipaṭalaḥ (prathamaḥ),towards beginning
M00003 - matsyendranAtha - akulavIratantra.htm,matsyendranAtha_akulavIratantra_M00003.xml,M00003,Akulavīratantra,Kaulajñānanirṇaya and some minor texts of the school,Matsyendranātha,mbP0001,https://muktabodha-digital-library.org/texts/IAST/M00003,"Bagchi, P. C.",,,,,,,,,,,"['tantric / āgamic literature', 'kaula', 'kaula early pre 1100 AD']",catalog,"Macchagnapāda, Macchendra","catalog, colophon",iti macchendrapādāvatārite kāmarūpisthāne yoginī prasādāllabdha(m) akulavīraṃ samāptam,
M00574 - agastyasaMhitA.htm,agastyasaMhitA_M00574.xml,M00574,Agastyasaṃhitā,,,,https://muktabodha-digital-library.org/texts/IAST/M00574,,,,,,,,,,,,['tantric / āgamic literature'],,,,itiśrīagastisaṃhitāyāṃdvātriṃśodhyāyaḥ samāptoyaṃgraṃthaḥ,
M00246 - agnikAryapaddhati.htm,agnikAryapaddhati_M00246.xml,M00246,Agnikāryapaddhati,,,,https://muktabodha-digital-library.org/texts/IAST/M00246,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'kaula', 'kaula later post 1100 AD', 'śākta', 'Paddhati']",,,,atha vistare satyagnikāryapaddhatirlikhyate,at beginning
M00272 - acintyavizvasAdAkhyam.htm,acintyavizvasAdAkhyam_M00272.xml,M00272,Acintyaviśvasādākhya,,,,https://muktabodha-digital-library.org/texts/IAST/M00272,,,,,,complete but final verses/colophon partially illegible,,,,,,"['tantra / āgama', 'śaiva', 'śaiva-siddhānta']",,,,iti cintyopabhede acintyaviśvasādākhye kriyāpāde tantrāvatāraḥ prathamaḥ paṭalaḥ ///  pa (* * *) midaṃ samāptamāsīt,in middle /// at end
M00658 - utpaladeva - ajaDapramAtRsiddhiH.htm,utpaladeva_ajaDapramAtRsiddhiH_M00658.xml,M00658,Ajaḍapramātṛsiddhivṛtti,,Hara Śāstrī,mbP0129,https://muktabodha-digital-library.org/texts/IAST/M00658,,y,,,,,colophon,,ilxM00001,commentary,including the mūla,"['tantric / āgamic literature', 'non-dual śaivism of Kashmir']",colophon,Haribhaṭṭa Śāstrī,catalog,pramātṛsiddhāvācāryotpaladevakṛtau manāk | candrābdhyaṣṭendu 1841 śākābde śāstrī vṛttiṃ haro vyadhāt | ityajaḍapramātṛsiddhau śrīmanmahāmāheśvarācāryotpaladevapādaviracitāyāṃ vṛttiḥ samāptā | śrīmatpratāpabhūbharturājñayā prītaye satām | madhusūdanakaulena saṃpādyeyaṃ prakāśitā,
M00622 - somanAtha - ajJAnadhvAntadIpikA.htm,somanAtha_ajJAnadhvAntadIpikA_M00622.xml,M00622,Ajñānadhvāntadīpikā,,Somanātha,mbP0003,https://muktabodha-digital-library.org/texts/IAST/M00622,,,,,incomplete,lacking explicit+final colophon,,,,,,['śaiva'],incipit,,,oṃsītākāntaṃhṛdi dhyātvāsomanāthomaheśajaḥ kurvevālāva vodhārtham ajñānadhvāntadīpikām,at beginning
M00102 - advayatArakopaniSat.htm,advayatArakopaniSat_M00102.xml,M00102,Advayatārakopaniṣadvivaraṇaṃ,,Brahmayogin,mbP0128,https://muktabodha-digital-library.org/texts/IAST/M00102,Śāstrī Mahādeva,,,,,yes (only tārakayogādhikāraḥ),colophon,Advayatārakā Upaniṣat,ilxM00002,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",colophon,,,ityupaniṣacchabdaḥ advayatārakopaniṣatsamāptyarthaḥ || śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | advayopaniṣadvyākhyā likhiteśvaragocarā | advayopaniṣadvyākhyāgrantho'śītiritīritaḥ || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe tripañcāśatsaṃkhyāpūrakam advayattārakopaniṣadvivaraṇaṃ saṃpūrṇam | oṃ śrīmadviśvādhiṣṭhānaparamahaṃsasadgururāmacandrārpaṇamastu,
M00510 - advayavajra - advayavajrasaMgraha.htm,advayavajra_advayavajrasaMgraha_M00510.xml,M00510,Advayavajrasaṃgraha,,Advayavajra,P44,https://muktabodha-digital-library.org/texts/IAST/M00510,,,,,,,,,,,,['tantric / āgamic literature'],colophon,,,kṛtiriyaṃ paṇḍitāvadhūtaśrīmadadvayavajrapādānām | samāpto'yaṃ granthaḥ | ye dharmā hetuprabhavā hetuṃ teṣāṃ tathāgato hyavadat | teṣāṃ ca yo nirodha evaṃvādo mahāśramaṇaḥ | śubhaṃ bhūyāt,
M00615 - anAdivIrazaivasaGgraha.htm,anAdivIrazaivasaGgraha_M00615.xml,M00615,Anādivīraśaivasaṅgraha,,Saṃpādanasiddhavīra,mbP0088,https://muktabodha-digital-library.org/texts/IAST/M00615,,,,,,8 chapters,,,,,,"['śaiva', 'vīraśaiva']",colophon,,,iti śrīmadvīramāheśvarācāryavaryaśrīvīraśaivaṣaṭsthalamārgasthāpanāgragaṇyaśrīsaṃpādanasiddhavīrākhyaśivayogīṃdraviracite anādivīraśaivasārasaṃgrahe viśvotpattisthalaṃ nāma aṣṭamaprakaraṇaṃ samāptam,
M00353 - aniruddhasaMhitA.htm,aniruddhasaMhitA_M00353.xml,M00353,Aniruddhasaṃhitā,,,,https://muktabodha-digital-library.org/texts/IAST/M00353,A. Shrinivasa Iyengar,,,,,,,,,,,['pāñcarātra'],,,,iti śrīpāñcarātre mahopaniṣadi aniruddhasaṃhitāyāṃ bhaktapratiṣṭhānām catustriṃśo'dhyāyaḥ,
M00004 - AdyanAtha - anuttaraprakAzapaJcAzikA.htm,AdyanAtha_anuttaraprakAzapaJcAzikA_M00004.xml,M00004,Anuttaraprakāśapañcāśikā,,Ādyanātha,mbP0005,https://muktabodha-digital-library.org/texts/IAST/M00004,"Śāstri, Mukundarāma",y,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",colophon,,,iti śrīmadādyanāthaviracitā anuttaraprakāśapañcāśikā samāptā,
M00104 - amRtanAdopaniSat.htm,amRtanAdopaniSat_M00104.xml,M00104,Amṛtanādopaniṣadvivaraṇa,,Brahmayogin,mbP0128,https://muktabodha-digital-library.org/texts/IAST/M00104,Śāstrī Mahādeva,,,,,,colophon,Amṛtanāda Upaniṣat,ilxM00003,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā likhitaṃ syādvivaraṇaṃ nādopaniṣadaḥ sphuṭam prakṛtopaniṣadvyākhyāgranthaḥ ṣaṣṭyuttaraṃ śatam iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe ekaviṃśatiṃsaṃkhyāpūrakam amṛtanādopaniṣadvivaraṇaṃ saṃpūrṇam,
